horizon,WAPE_hybride,WAPE_naive,biais_pct_hybride,volume_reel
1,0.6924743485448995,0.8975490196078432,-0.01668961541901226,8160.0
2,0.6860084465028035,0.8889209880109779,-0.002183595267794991,6923.0
3,0.6974975559826485,0.8998567335243552,-0.0140422479630824,6980.0
4,0.6658065936636185,0.9282046217657516,-0.000447126851659263,10126.0
5,0.7284413985543029,0.9095477386934674,0.02650447075398299,3781.0
6,0.6957240205014865,0.8911819887429644,0.0026062220790135093,6929.0
7,0.7083082568521512,0.9034145014283771,-0.013765756786792482,7351.0
8,0.6917614700804087,0.8841125637048527,-0.060876322878915756,9026.0
9,0.7133129127274997,1.0417072379097696,0.0032364859147910874,6162.0
10,0.7094628803702361,0.9424732585442213,0.02940293839482644,7666.0
11,0.6555952791595588,0.865391654465593,-0.06170460705004599,10928.0
12,0.6723722091064142,0.885520252243512,-0.07777566901570798,4123.0
13,0.6937028069742888,0.9205725512208813,-0.033147233668415654,7126.0
14,0.7284572204769478,0.9457409568261377,0.009236186123865231,6856.0
15,0.678760259696096,0.8952774646123012,-0.09222255676776048,7983.0
16,0.7137556042982371,0.9361892012494422,-0.08369052168332458,6723.0
17,0.6750639946406037,0.9087554085008908,-0.11821343509878879,7858.0
18,0.6768249959825196,0.9459430180912144,-0.015103203457320413,9231.0
19,0.7007056215080516,0.9078576913232659,-0.13337275794593395,3907.0
20,0.7168099005942694,1.0599931436407268,-0.08611067075958412,5834.0
21,0.7179920892214502,0.9633164330450343,-0.06990435415230578,6706.0
22,0.6959069319216623,0.9278885550396067,-0.022327487350957798,7322.0
23,0.7126019549018285,0.9753184713375797,-0.1651300108359438,6280.0
24,0.6824221247376456,1.2149911816578483,-0.1992261037958899,5670.0
25,0.6844201907262334,0.9180734856007945,-0.2616526891235915,10070.0
26,0.7091250464580677,0.9398369412426202,-0.26479827230156805,3557.0
27,0.7146006889519659,1.0298359025360517,-0.2628562977982989,6033.0
28,0.7010998358388402,0.9497334348819497,-0.19870327521141784,6565.0
