modele,WAPE,biais,biais_pct,fold
directe,0.7067056782086059,-0.3794462884577857,-0.16662525263733874,1
recursive,0.7097577094596921,0.06758833638001457,0.029679888741118265,1
hybride,0.6949865603812707,-0.15592897603888559,-0.0684726819481104,1
naive_saiso,0.9160751985523273,-0.14574175824175825,-0.06399919573740831,1
directe,0.7076156197604929,-0.27586823103117564,-0.12858739015517828,2
recursive,0.7104196124828499,0.06665714792310039,0.031070154959780494,2
hybride,0.6998317011983579,-0.13885807944946518,-0.06472437210919468,2
naive_saiso,0.9754988795219294,-0.0777930402930403,-0.036260804609966946,2
directe,0.6909293516310875,-0.367110209279973,-0.16174148132324573,3
recursive,0.6953431085195262,0.01843158188974254,0.008120589628451746,3
hybride,0.6833143986352299,-0.21289349281208675,-0.09379665294256667,3
naive_saiso,0.9349619737346433,-0.29995421245421244,-0.1321538802929132,3
directe,0.7085104911249196,-0.3086804752207834,-0.13560457766915235,4
recursive,0.715079515483172,0.08783914607064489,0.038588091123059165,4
hybride,0.6997493460531574,-0.15007262670421206,-0.06592751015226772,4
naive_saiso,0.9237252338328472,-0.05892857142857143,-0.025887559086794742,4
